Source Short Name,Language
MUZAFFARNAGAR,Hindi
MUZAFFARPUR,Hindi
MUZAFFARPUR-AGHORIA BAZAR,Hindi
NABARANGPUR,Odiya
NAGAON,Assamese
NAGOUR,Hindi
NALBARI,Assamese
NAUBASTA-KANPUR,Hindi
NAWADA,Hindi
ORAI,Hindi
PADARI BAZAR,Hindi
PADRAUNA,Hindi
PAHARIA,Hindi
PALAMPUR-CITY MALL,Hindi
PALKI-LUCKNOW,Hindi
PARTAP GARH,Hindi
PATHANKOT,Hindi
PATNA CITY,Hindi
PATNA-KURJI,Hindi
PHUSRO,Hindi
PILIBHIT,Hindi
PREM NAGAR-BAREILLY,Hindi
PURNIA,Hindi
PURULIA,Bangla
RAIBARELI,Hindi
RAIGANJ-MG ROAD,Bangla
RAJAJIPURAM,Hindi
RAJENDER NAGAR,Hindi
RAJIV NAGAR,Hindi
RAJPURA-AGRA,Hindi
RAMBAGH CHOWK,Hindi
RAMGARH,Hindi
RAMPUR,Hindi
RANCHI,Hindi
RANCHI-RATU ROAD,Hindi
RENUKOOT,Hindi
REWA,Hindi
RUDRAPUR,Hindi
SAGAR,Hindi
SAGUNA MOR-PATNA,Hindi
SAHARANPUR,Hindi
SAHARANPUR-DELHI ROAD,Hindi
SAHARSA,Hindi
SAKET NAGAR,Hindi
SAMASTIPUR,Hindi
SAMBALPUR,Odiya
SANDILA-MOHALL ASHAF TOLA,Hindi
SANGANER-JAIPUR,Hindi
SASARAM,Hindi
SHAHAJAHANPUR,Hindi
SHAHGANJ,Hindi
SHANTIPUR,Bangla
SHEIKHPURA,Hindi
SHEOHAR,Hindi
SHIVPURI,Hindi
SHUKLAGANJ,Hindi
SIDHAULI,Hindi
SILIGURI,Bangla
SITAMARHI,Hindi
SITAPUR,Hindi
SIWAN,Hindi
SOLAN-ANAND COMPLEX,Hindi
SRINAGAR,Hindi
SULTANPUR,Hindi
SUPAUL,Hindi
TAMLUK-MANIKTALA,Bangla
TELIBAGH,Hindi
THAKURGANJ,Hindi
UDAIPUR,Hindi
UDAIPUR-SURAJPOLE,Hindi
UDALGIRI MG ROAD,Assamese
UDALGURI-MG ROAD,Assamese
UDHAMPUR,Hindi
UJJAIN,Hindi
UNNAO-SHAHGANJ BAZAAR,Hindi
URBAN BANK ROAD,Odiya
VADODARA,Gujarati
VARANASI,Hindi
VIKAS NAGAR,Hindi
ZIRAKPUR-BUS STAND,Hindi
ZOO ROAD-GUWAHATI,Assamese
