Store,Region,Zone,DOA,Area,LTL/New,Nature,Grading,Tier,Organization,StoreCode,StatusMyntra,StatusAmazon,StatusOmni,Language
BANDA,UP12,UP,20-Apr-14,8000,L2L,Fashion,NA,NA,Vmart,100503,0,0,0,Hindi
BANDEL,WB 1,EAST/JHK,######,8406,L2L,Fashion,NA,NA,Vmart,101177,0,0,1,Bangla
BANKA,BIHAR 3,BIHAR,######,7200,L2L,Fashion,NA,NA,Vmart,101092,0,0,0,Hindi
BARABANKI,UP13,UP,######,8031,L2L,Fashion,NA,NA,Vmart,79,0,0,0,Hindi
BAREILLY,UP11,NORTH,23-Jul-14,8872,L2L,Fashion,NA,NA,Vmart,100677,0,0,0,Hindi
BARHI-DHANBAD ROAD,JHK2,EAST/JHK,30-Jun-21,6281,New,Fashion,NA,NA,Vmart,101474,0,0,0,Hindi
BARIPADA,ODISHA,EAST/JHK,26-Oct-15,8065,L2L,Fashion,NA,NA,Vmart,101012,0,0,0,Odiya
DILSUKHNAGAR,HYDERABAD,SOUTH,15-Oct-13,14580,New,Non Saral,NA,NA,Unlimited,101564,1,1,1,#N/A
BASTI,UP9,UP,05-Jun-10,8200,L2L,Fashion,NA,NA,Vmart,54,0,0,1,Hindi
BASTI-MALVIYA ROAD,UP9,UP,######,9839,<1Yr,Composite,NA,NA,Vmart,101377,0,0,0,Hindi
BEGUSARAI,BIHAR 2,BIHAR,08-Apr-10,13380,L2L,Composite,NA,NA,Vmart,52,0,0,0,Hindi
FORUM SUJANA MALL,HYDERABAD,SOUTH,04-Sep-14,10113,New,Saral,NA,NA,Unlimited,101557,0,0,0,#N/A
HABSIGUDA,HYDERABAD,SOUTH,28-Jul-10,9067,New,Non Saral,NA,NA,Unlimited,101562,1,1,0,#N/A
MADEENAGUDA,HYDERABAD,SOUTH,13-Oct-17,12437,New,Non Saral,NA,NA,Unlimited,101561,1,0,0,#N/A
BERASIA,MP1,NORTH,######,7111,L2L,Fashion,NA,NA,Vmart,66,0,0,0,Hindi
BETTIAH,BIHAR 2,BIHAR,######,7500,L2L,Fashion,NA,NA,Vmart,80,0,0,0,Hindi
BHABUA,BIHAR 4,BIHAR,17-Jun-17,6248,L2L,Fashion,NA,NA,Vmart,101068,0,0,0,Hindi
BHAGALPUR,BIHAR 3,BIHAR,08-Apr-11,10000,L2L,Composite,NA,NA,Vmart,62,0,1,0,Hindi
BHAGESHWAR NAGAR,UP3,UP,01-Jun-13,5700,L2L,Fashion,NA,NA,Vmart,100052,0,0,0,Hindi
